description;biddable;startprice;condition;cellular;carrier;color;storage;sold;UniqueID
Grade B+ refurbished.  No factory packaging.  There is a surface level scratch on the rear casing ;0;249.99;Manufacturer refurbished;1;Verizon;Black;16;0;10121
iPad working great - both iPhones have broken but fully functioning;0;195;Used;Unknown;Unknown;Unknown;Unknown;0;11412
Have signs of wear. Includes all accessories except the remote control and the user guide. Work ;0;30.99;Seller refurbished;Unknown;Unknown;Unknown;Unknown;0;11443
;0;350;Used;1;AT&T;Unknown;32;0;12238
*FREE* Same-Day Ship | 90-Day Warranty | 100% Functional, Includes All Major Accessories, Shows ;0;200.29;Seller refurbished;0;None;Black;16;0;10949
"New ----&gt; No box or accessories. Full warranty.";0;188.88;New other (see details);0;None;Space Gray;16;0;12651
Overall Very Good Condition with minor wear on the outer casing and and minor scratches on the ;0;129.95;Used;0;None;Black;32;0;11894
Opened box, functional, no cosmetic damages, includes accessories. Please contact us with any ;1;0.99;Used;Unknown;Unknown;Unknown;Unknown;1;12213
There are some scratches on the screen besides that it is in very good condition.;0;38.99;Used;Unknown;Unknown;Unknown;Unknown;1;12466
Note: Surface scratches on the back cover;0;89.99;Used;1;AT&T;Black;32;1;10248
;0;215;Used;1;AT&T;Unknown;32;1;10117
Icloud locked - clean no scratches;1;49.95;Used;0;None;White;16;1;11829
;1;99;Used;0;None;Space Gray;16;1;12082
In good condition has a minor scratch on the back;0;199;For parts or not working;0;None;Unknown;16;0;11752
;0;174.99;Used;0;None;Unknown;16;0;11161
;0;785;New;1;Sprint;Gold;128;0;10650
;1;199.99;Used;Unknown;Unknown;Unknown;16;1;10796
;1;150;Used;1;AT&T;Black;64;1;12039
;0;212.99;Used;0;None;White;16;0;11390
;0;649.99;New;0;None;Unknown;64;0;11191
;0;7.99;New;Unknown;Unknown;Unknown;Unknown;0;12481
Swiped memory. Just like new.;1;80;Used;0;None;White;Unknown;0;10687
Brand-new condition no box has charger cord is in mint condition has had a screen protector and a ;0;340;New other (see details);0;None;Unknown;16;0;10440
;1;70;Used;0;None;Black;16;1;12021
Good condition, minor nick on right uppser corner;0;165;Used;Unknown;Unknown;Black;32;0;10386
;1;50;For parts or not working;Unknown;Unknown;Unknown;64;1;12591
;1;100;New;0;None;Black;16;1;10897
Great condition.;0;285;Used;0;None;Unknown;16;0;11939
THIS PRODUCT IS ICLOUD SEALED / ICLOUD LOCKED, UNUSABLE FOR ACTIVATION, SOLD STRICTLY AS IS FOR ;1;0.99;For parts or not working;0;None;Black;16;1;12621
;1;1;For parts or not working;Unknown;Unknown;Unknown;Unknown;1;11716
This item is an open box unit. The iPad does not show any signs of use. It includes the original ;0;525;New other (see details);0;None;White;64;0;10911
This item is used but in very good condition. It will have some very minor signs of use such as ;0;159.99;Used;Unknown;Unknown;Unknown;Unknown;1;11821
Perfect working order!! No chips or dings...very nice condition.;1;220;Used;1;Verizon;Unknown;16;1;12185
;1;275;Used;Unknown;Unknown;Unknown;128;0;10602
This TAB is in good condition with minor scratches on the housing or screen (does not affect ;0;315;Used;1;Verizon;White;32;0;10500
;0;160;Used;0;None;Unknown;16;0;10789
;1;149.98;Used;Unknown;Unknown;White;16;0;11307
;0;150;Used;Unknown;Unknown;White;Unknown;1;10611
Tested, Faulty Wi-Fi. See Pictures. Minor Dent on 2 Corners. Scuffs on Casing/Screen. Power Supply ;1;9.99;Used;0;None;Unknown;16;1;10379
Like New!!!;1;9.5;Used;0;None;Unknown;64;1;10419
Grade A condition means that the Ipad is 100% working condition. Cosmetically 8/9 out of 10 - Will ;0;209.85;Manufacturer refurbished;1;Verizon;Black;16;0;10914
Great Condition, No charger;1;0.01;Used;0;None;Unknown;16;1;10666
Stuck on intro screen, read description below.;0;105;For parts or not working;1;AT&T;Black;16;0;12550
;1;89.99;Used;0;None;Black;16;0;10296
;0;144.99;Used;0;None;Black;16;0;10274
;0;389.99;Used;0;None;Space Gray;16;1;10381
;0;749.99;New;1;Unknown;Space Gray;128;0;11533
;0;500;New;0;None;Unknown;64;1;11059
;0;900;Used;1;Unknown;Unknown;128;0;10982
"There are minor scratches on the top back edge and very light scratchs on the back. You can&#039;t really ";1;150;Used;0;None;Black;16;1;10848
;1;14.99;For parts or not working;1;Unknown;Black;64;1;11617
;0;999;Used;0;None;Unknown;32;0;11397
;0;172;Used;0;None;White;16;0;12218
;0;400;Used;0;None;White;32;0;12547
;1;150;Used;0;None;White;32;0;10569
"C Stock - Seller refurbished &amp; in Fair condition. 100% Fully Functional, Clean IMEI (ESN) &amp; iCloud, ";0;360.24;Seller refurbished;1;Verizon;White;64;0;11374
;1;325;New;Unknown;Unknown;White;16;0;11777
This is a B Stock item, meaning the unit is in a good condition.The screen has no visible scratches ;0;269.99;Used;1;Unknown;Black;32;0;11965
For Parts Or Repair;0;85;For parts or not working;0;None;Black;16;0;11756
;1;9.99;For parts or not working;0;None;Space Gray;16;1;12612
;0;260;Used;0;None;Black;16;0;11159
;1;60;Used;0;None;Unknown;16;1;10476
;1;179;Used;1;Verizon;Black;16;1;10608
;0;90;Used;1;AT&T;Black;64;0;12037
iPad 1 16G, in excellent condition, a few tiny scratches, only noticeable when screen is off. This ;0;119.99;Used;0;None;Black;16;0;10842
;1;350;New;0;None;Unknown;16;1;12239
Working Condition.  Shattered and missing glass around home button.  Several cracks running across ;0;144.5;For parts or not working;0;None;Black;16;1;11702
Fully functional. Great condition.;1;0.99;Used;0;None;Gold;16;1;10816
No scratches on the screen. In excellent working conditon. Case has marks from storing. l;1;160.57;Used;0;None;Unknown;16;1;10832
;1;0.99;For parts or not working;0;None;White;16;1;11715
;0;145;Used;0;None;Black;64;0;11542
;0;244.97;New;0;None;White;16;0;10903
;1;175;Used;1;Verizon;Black;64;0;10628
;1;25;Used;0;None;Unknown;64;1;10444
;0;799;New;1;Unknown;Space Gray;128;0;12363
;0;499;Used;0;None;Unknown;64;0;11299
iPad is in GREAT condition! The screen and case has a few light surface scratches. See photos for ;1;399.99;Used;0;None;White;16;1;10231
Cracked Screen;0;145;For parts or not working;0;None;White;16;0;12622
Being previously owned will show signs of wear.  Normal wear consist of cosmetic dings, dents, and ;1;30;For parts or not working;Unknown;Unknown;Unknown;Unknown;1;12572
Open Box Return (Excellent Physical Condition);0;239.99;New other (see details);0;None;Black;16;0;11884
;0;460;New;0;None;Black;16;0;12422
;0;100;Used;Unknown;Unknown;White;64;0;12646
;1;0.5;For parts or not working;0;None;Unknown;16;1;12559
Includes iPad only. Does not include USB/power cord, additional accessories or box. Shows some signs ;1;0.99;Used;0;None;Unknown;16;1;10912
;0;408.6;New;Unknown;Unknown;Unknown;Unknown;0;12460
;0;90;Seller refurbished;1;AT&T;Black;64;0;11837
;0;399;New;Unknown;Unknown;Gold;16;0;11436
This device was previously owned but is in Mint condition. Items in Mint condition may have signs of ;0;209;Seller refurbished;0;None;Unknown;16;0;11815
Small dent in upper left corner;1;0.99;Used;0;None;Unknown;32;1;10450
Used only once! Includes original box and charger;0;199;Used;0;None;Unknown;16;0;12251
;1;99;Used;1;AT&T;White;32;1;10678
;1;400;New;1;Unknown;Gold;64;1;10410
;0;649.99;New other (see details);1;Verizon;Black;128;0;10845
iPad works however the screen replacement was not done cleanly. As a result the home button is loose ;1;89;Used;0;None;Black;16;1;10251
This item has been kept in mint condition. Always used a Smart Cover and kept it in a case as well. ;1;99;Used;Unknown;Unknown;Unknown;32;1;11134
;1;129.99;Used;0;None;Space Gray;16;1;10725
"It&#039;s in good condition. There are minor scratches and discoloration for normal wear in the back. NO ";0;249;Used;1;Verizon;Black;64;0;10483
Grade B refurbished.  No factory packaging.  Small dent in side casing (see photos).  Several ;0;249.99;Manufacturer refurbished;1;Verizon;Black;16;0;10424
Great working condition, little nicks in the corners, screen looks and feels great, great standup ;0;200;Used;Unknown;Unknown;Black;Unknown;0;12420
;1;499.99;New;0;None;White;16;0;11491
;1;0.99;Used;1;AT&T;Unknown;16;1;10855
;1;50;New;0;None;White;64;1;10784
;0;319.98;New;0;None;White;16;0;11793
;1;459.99;New;0;None;Unknown;64;0;10939
;1;0.99;For parts or not working;0;None;Unknown;32;1;12586
ITEM IS BRAND NEW AND NEVER TAKEN OUT OF FACTORY PACKAGE.  SHRINK WRAP MAY HAVE SOME TEARS.  BOX AND ;0;410;New other (see details);0;None;Unknown;32;0;12178
"****read description****----I cloud account need to activate it&#039;s like new";0;150;For parts or not working;Unknown;Unknown;White;Unknown;0;12557
;0;379.99;New;0;None;Black;16;0;11146
;1;99.99;Used;0;None;Space Gray;16;1;10186
;1;175;Used;0;None;White;32;0;11349
���Used Apple Ipad 16 gig 1st generation in Great working condition and 100% functional.Very little ;0;109;Seller refurbished;0;None;Black;32;0;12210
Works great -- One owner;0;249.99;Used;0;None;Black;64;0;10765
;0;84.99;Used;0;None;Unknown;32;0;11964
;0;250;Seller refurbished;0;None;Unknown;16;0;11565
"C - Stock. Seller refurbished &amp; in Fair cosmetic condition. 100% Fully Functional, Clean IMEI &amp; ";0;237.99;Seller refurbished;1;AT&T;Black;16;0;11381
Grade C  - Fully functional device and works great. No passcode lock and clean IMEI/ESN. Grade C ;0;189.99;Used;1;Verizon;Black;64;0;11069
New in the opened package.  All is still sealed.  Few small cuts into the outer box on the outside ;0;350;New other (see details);1;T-Mobile;Unknown;16;0;10886
;1;0.99;Used;0;None;White;16;1;10238
;1;0.01;For parts or not working;0;None;Unknown;16;1;12606
I pad 2 great condition with keyword and cover;0;180;Used;0;None;Unknown;32;1;10664
;0;175;Used;0;None;Unknown;16;0;11342
;1;149;New;0;None;White;16;1;10177
iPad has been restored to the factory default settings.;0;104.7;Used;0;None;Unknown;32;1;11190
Black bezel, Screen like new.  Working excellently.;0;250;Used;0;None;Black;16;0;11846
Ipad 2 32gb Housing. Some scratches and small dents, but overall good condition.;0;19.99;For parts or not working;Unknown;Unknown;Unknown;Unknown;0;11767
Tablet is Good Working. Has been reset to the factory settings.;0;334.99;Used;1;Unknown;Unknown;16;0;10980
*FREE* Same-Day Ship | Factory Refurbished | 90-Day Warranty | 100% Functional, Includes All Major ;0;228.59;Manufacturer refurbished;1;AT&T;Black;64;0;10432
Overall Good Condition with regular wear, some dings in corners and minor scratches on the screen.;0;119.95;Used;0;None;Black;32;0;10077
Brand new in sealed retail box.;1;199.99;New other (see details);0;None;Space Gray;64;1;11902
Open box, was on exhibition, never used before.;0;44.99;New other (see details);Unknown;Unknown;Unknown;Unknown;1;11442
very good;1;79.99;Used;0;None;White;16;0;10841
Great condition had a new battery installed 3 months ago by my local Apple Store so it works like ;0;199.99;Manufacturer refurbished;1;Verizon;Black;64;1;10045
;1;174.99;Used;0;None;White;16;0;12092
;0;139;New;Unknown;Unknown;Unknown;Unknown;0;11452
Good working condition and fully functional 32GB iPad 2 Wifi - Black. Please read full description.;1;169;Used;0;None;Black;32;0;12315
;1;50;Used;0;None;Black;16;1;10078
;1;100;Used;1;Verizon;Black;64;1;10202
;0;350;Used;1;Verizon;White;32;1;11561
Item has been professionally tested and inspected. Tests show that all features work correctly. This ;0;159.99;Used;0;None;Black;16;0;10040
AS SEEN IN THE FRONT FACING PHOTO, THERE IS A VISIBLE SCRATCH.  HOWEVER, THAT SCRATCH IS ON THE ;0;110;Used;0;None;White;16;0;11116
;1;0.99;Used;1;Other;Unknown;32;1;12201
;1;25;For parts or not working;0;None;White;16;1;11636
;1;164;Used;0;None;Black;32;0;10785
;0;554.77;New;Unknown;Unknown;Unknown;Unknown;0;12632
*FREE* Same-Day Ship | 90-Day Warranty | 100% Functional, Includes All Major Accessories, Shows ;0;194.29;Seller refurbished;0;None;White;32;0;10093
;0;645;New;0;None;Gold;128;0;11481
;1;200;Used;0;None;White;16;0;10299
Good used condition.;1;129.99;Used;0;None;White;16;1;12006
iCloud Locked;0;79.95;For parts or not working;Unknown;Unknown;Unknown;Unknown;0;12560
;0;155;Seller refurbished;0;None;Black;16;0;12516
Front glass has already been removed, they are ready for a new digitizer to be installed. They have ;0;165;For parts or not working;Unknown;Unknown;Unknown;16;0;11750
;0;359;New;0;None;White;16;0;10975
;0;155;Used;0;None;Unknown;16;0;12259
Like new, used by an adult only. Always kept I sleeve when not in use.;1;239;Used;0;None;Space Gray;32;1;10823
;1;24.99;Used;0;None;Space Gray;32;1;11028
;1;300;New;0;None;Space Gray;32;1;10830
Cracked but works read first before buying;0;155;For parts or not working;0;None;White;16;0;11768
Mint condition. Not a single scratch. I got this iPad mini 3 as a bonus from the company I work for ;0;419.99;Used;0;None;Unknown;64;0;12369
;1;52.25;Used;Unknown;Unknown;Unknown;Unknown;0;11836
A device listed in good condition with a few minor mark and/or scratches on the housing or display ;0;90;Used;1;AT&T;White;32;0;10597
;0;211.5;Used;0;None;Unknown;32;0;12143
IPAD IS IN GREAT CONDITION. IT HAS NO DENTS OR SCRATCHES. IPAD HAS BEEN FACTORY RESET.;0;249.99;Used;0;None;Space Gray;16;0;12276
;1;159.99;Used;0;None;Black;16;0;11181
Item is in nice shape. Has a few scuffs on the backside of the iPad.;1;20;Used;0;None;White;16;1;10333
;0;229.99;Used;0;None;White;16;0;12411
This item is in Good cosmetic condition. It may have long scratches and wear from regular use on the ;0;229.99;Used;1;Verizon;White;32;1;11026
;0;660;New;0;None;White;Unknown;0;10909
;1;0.99;Used;1;Verizon;Unknown;16;1;10497
Small crack on top left screen, nothing major;1;50;Used;0;None;Black;32;1;10633
;1;879.99;New;0;None;Space Gray;128;0;12503
;0;259.99;Used;Unknown;Unknown;Unknown;Unknown;0;11246
;1;50;Used;0;None;Black;32;1;10779
;1;50;For parts or not working;Unknown;Unknown;Space Gray;Unknown;1;11686
;1;100;Used;0;None;Unknown;64;1;11054
;0;425;New;0;None;Gold;16;1;11295
THIS IPAD LOOKS EXCELLENT !! IT IS UNLOCKED FOR DATA USAGE EXCEPT FOR SPRINT/TMOBILE.  IT WILL WORK ;0;379.99;Used;1;Unknown;White;16;0;11203
;1;0.99;For parts or not working;0;None;Unknown;16;1;12581
;1;0.99;Used;0;None;Unknown;32;1;12107
;0;454;New;0;None;Space Gray;16;0;11211
;1;10;Used;Unknown;Unknown;Unknown;Unknown;1;10923
iPad is in fair condition, minimal wear and tear. iPad has cracked screen. iPad will not power on. ;0;119.99;For parts or not working;0;None;Unknown;16;0;12561
;0;388.3;Used;1;AT&T;Unknown;64;0;11010
Device is in Great Condition.  Grade A, However it does not come  in Original Packaging.  Comes in ;0;300;Manufacturer refurbished;0;None;White;16;0;11020
Please scroll all the way down to the bottom of the page and read the entire page thoroughly BEFORE ;0;239.99;Used;Unknown;Unknown;Unknown;Unknown;0;11948
;1;549.99;New;0;None;Space Gray;64;0;10979
;0;80;Used;0;None;White;32;0;10645
great condition;1;200;Used;0;None;Black;64;0;11914
;0;332.5;New;0;None;White;16;0;11464
;0;181;Used;0;None;Unknown;16;0;12119
;0;199;For parts or not working;0;None;White;32;0;11606
;0;299;Used;0;None;Black;16;0;10815
;1;160;Used;1;AT&T;White;16;1;10502
;0;5.65;New;Unknown;Unknown;Unknown;Unknown;0;12479
;1;100;Used;1;AT&T;Black;64;0;10182
"like new&lt;br&gt;";1;250;Used;Unknown;AT&T;Unknown;32;0;11195
;0;99.95;For parts or not working;1;Unknown;Unknown;32;0;12565
;0;139;Used;0;None;Black;32;0;11841
;1;329.99;Used;Unknown;Unknown;White;Unknown;0;12108
"A device listed in Average/Fair  condition with some scratches, scuffs on the housing &amp; screen (do ";0;76;Used;0;None;White;16;0;10777
;1;49.99;Used;0;None;Black;16;1;12005
;1;299;New other (see details);0;None;Unknown;16;1;10399
;1;80;Used;Unknown;Unknown;Unknown;16;0;11796
;0;90;Used;1;AT&T;Black;32;1;11544
;1;200;Used;0;None;White;32;0;12115
Works GREAT.SCreen has just minor wear and back looks fine.Its corners and edges have some minor ;0;149;Used;1;Verizon;Black;16;0;12416
;0;15;Used;0;None;Black;16;0;10184
;1;25;New;0;None;Gold;16;1;11281
;1;0.01;For parts or not working;0;None;Space Gray;16;1;11736
;0;165;Used;0;None;Black;16;0;12409
iPad 2 works fine. UnlockedCracked Screen/ Mic is brokenCharger not included;0;100;Used;0;None;Unknown;16;0;12515
Mint Condition;0;319.99;Used;Unknown;Unknown;Space Gray;16;0;11772
;1;200;Used;0;None;Black;16;1;10974
;1;0.99;Used;0;None;White;16;1;10258
;0;398.99;New;0;None;White;16;0;11070
;0;100;Used;1;Verizon;White;16;1;11241
;0;425;New;1;Unknown;Unknown;16;0;10232
Great Condition;1;1;Used;0;None;White;128;1;11323
Item has Original packaging. Original packaging has stickers on box. Device has light scratches and ;0;229.99;Used;Unknown;Unknown;Unknown;Unknown;0;11031
;0;91;For parts or not working;Unknown;Unknown;Unknown;Unknown;1;11764
100% functional, no damage.;1;0.01;Used;0;None;Black;64;1;12392
"iPad won&#039;t power on..iPhone is in average shape";1;100;For parts or not working;Unknown;Unknown;Unknown;32;0;11718
In great working condition. Very little where in tear.;1;50;Used;0;None;Black;16;0;10199
;0;209;Used;0;None;Black;16;1;11036
;1;165;Used;0;None;White;16;0;12285
;0;187.99;Seller refurbished;0;None;Unknown;16;0;10316
;0;559.99;New other (see details);0;None;Unknown;64;0;12069
;0;80;Used;0;None;Black;32;0;11885
Screen is cracked and covered with tape. Appears to be functional otherwise. SOLD AS-IS.;0;89.99;For parts or not working;0;None;Unknown;16;0;11698
Excellent condition. No scratches.;1;100;New other (see details);0;None;Unknown;16;1;10357
;0;149.95;Seller refurbished;0;None;Black;64;0;11788
;0;176.27;Used;1;AT&T;Unknown;16;1;11005
;0;229;Used;0;None;Space Gray;16;0;10148
iPad looks and works great. Screen is near mint, back and edges will  have some scuffing, scratches, ;0;239.88;Seller refurbished;0;None;Unknown;64;0;11178
;0;329.99;Used;0;None;Unknown;16;0;11154
;0;89.99;Used;0;None;Space Gray;16;0;10200
;0;130;For parts or not working;0;None;Space Gray;16;0;11743
;0;439.99;New;1;Unknown;Unknown;16;0;12652
;1;260;New other (see details);0;None;Unknown;16;1;10926
;1;80;For parts or not working;0;None;Black;32;1;12619
;0;280;New;0;None;Unknown;16;0;12538
Item has original packaging. Original packaging has stickers on box. Device has heavy scratches and ;0;469.99;Used;1;AT&T;Unknown;128;0;11118
;1;149;Used;0;None;White;16;1;12183
;0;227.95;Seller refurbished;0;None;Unknown;32;0;10649
;1;350;Used;1;Verizon;Space Gray;64;1;10976
;0;150;Used;1;Sprint;Unknown;16;1;11530
;1;400;Used;0;None;Space Gray;16;0;10541
Great condition.;0;235.99;Manufacturer refurbished;0;None;Black;16;0;12013
;0;749;New;1;Unknown;Gold;128;0;11487
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ";0;108;Used;1;AT&T;White;32;0;11077
Includes tablet and sim card .No cables.No AppleCare. Has light scratches and a dent around the ;1;65;Used;1;AT&T;Space Gray;32;1;11966
;0;290;New;0;None;White;16;1;11525
;0;105;Used;1;Unknown;Black;64;1;10942
;0;299.99;Used;0;None;Black;32;0;12537
iPad is iCL0UD locked and therefore being sold AS IS for parts. iPad is in NEAR MINT physical ;0;222.72;Used;0;None;Unknown;32;0;10674
;0;175;Used;Unknown;Unknown;Unknown;Unknown;0;11597
Excellent;0;250;Used;1;Verizon;White;16;0;11075
;0;200;Used;Unknown;Unknown;White;Unknown;0;12383
Works perfectly a few tears in the cover. Some scratches but screen is clear;1;49.95;Used;0;None;Unknown;64;1;10639
;0;529.95;New;0;None;Space Gray;16;0;11371
Flawless, barely used, just like brand new, completely erased and reset, no scratches, no cracks, ;0;250;Used;Unknown;Unknown;Black;Unknown;1;11570
;1;0.99;Used;0;None;Unknown;64;1;12322
;1;62;Used;0;None;Black;64;1;10095
Barley been used! In great condition. Excellent camera. Light and durable. You will love it!;0;200;Seller refurbished;0;None;Unknown;16;0;11588
Great condition and lightly used!;1;75;Used;0;None;Unknown;16;1;10384
;0;380;Used;1;T-Mobile;Space Gray;32;1;11555
These items may have a few scratches and dents due to it being previously used. The item may have ;1;99.98;Seller refurbished;1;Verizon;White;16;1;12648
;1;100;Used;0;None;Unknown;16;0;10127
"Item is fully functional it&#039;s just it won&#039;t let me connect to iTunes";1;75;For parts or not working;0;None;Unknown;64;1;11737
Non-Functioning Unit, handset only. Please refer to the item description below. Contact us with any ;1;0.99;For parts or not working;0;None;Unknown;32;1;11690
;0;295;Used;1;Unknown;Black;16;0;11333
;0;250;Used;1;Unknown;Black;64;0;11155
IPAD IS IN VERY GOOD CONDITION WITH NO MAJOR SCRATCHES TO SCREEN AND NO CRACKS OR DENT ....IPAD IS ;1;0.99;Seller refurbished;0;None;White;16;1;11831
Everything works perfect only damage shown on third picture. Screen works perfect. Original box and ;0;200;Used;Unknown;Unknown;Unknown;32;0;11659
Refurbished;0;168;Seller refurbished;0;None;Unknown;Unknown;0;11389
Great condition;0;219.99;Used;0;None;White;32;0;12638
;0;57.5;For parts or not working;Unknown;Unknown;Unknown;16;1;11663
;1;90;For parts or not working;0;None;Unknown;16;1;12575
;1;0.99;Used;0;None;White;16;1;10081
;0;240;New other (see details);0;None;Black;16;0;11385
;1;595;Used;1;AT&T;Space Gray;128;0;12364
;1;30;For parts or not working;0;None;Unknown;16;1;11662
new, open box;0;404.99;New other (see details);0;None;Black;64;0;10197
;0;70;Used;0;None;White;16;0;12408
;0;135;Used;0;None;Black;32;0;11998
This iPad is in decent condition. It has very subtle dents on the back (have to rotate the ipad to ;1;70;Used;0;None;Black;16;1;11977
Excellent condition;1;99.99;Used;0;None;White;16;1;10540
This TAB is in good condition with minor scratches on the housing or screen (does not affect ;0;154;Used;1;Verizon;White;32;0;10518
Screen has had a protector on it since date of purchase.  iPad will be shipped with screen protector ;1;250;Used;1;Verizon;Black;64;1;10289
;0;349;New;Unknown;Unknown;Unknown;Unknown;0;11247
This Apple iPad was cherished by its previous owner and has some signs of use, there are faint ;1;78;Used;1;AT&T;Unknown;64;1;10275
;0;160;Used;0;None;Black;16;0;12505
;0;234.99;Used;0;None;Black;16;0;11032
;0;350;Used;1;Unknown;Space Gray;16;0;11266
Only 6 weeks old in perfect condition;0;217;Used;0;None;White;16;0;12327
In Great Condition, with very minor scratches on back. Screen is in great condition. No Cracks.;0;275;Used;0;None;White;32;0;10583
It shows a fair amount of cosmetic wear but other than that perfectly working. Please check ;0;250;Used;1;Verizon;Black;16;0;12405
"This item is Used &amp; in Heavily Used cosmetic condition - 100% Fully Functional, iCloud clear, ";0;141.09;Used;0;None;White;32;0;11327
;1;729.99;New;0;None;White;128;0;11493
Perfect condition;0;252.99;Manufacturer refurbished;1;AT&T;Black;16;0;10485
ITEM IS BRAND NEW AND NEVER REMOVED FROM BOX.  SHRINK WRAP MAY HAVE SOME TEARS.  NEW FACTORY SEALED;0;310;New other (see details);0;None;Unknown;16;0;12153
LIKE NEW!!!!!!!! iPad contains a small engraved University of Arizona emblem. No scratches or wear.;1;200;Used;0;None;Black;16;1;12132
;0;329;New;0;None;Black;16;0;10170
;1;0.99;For parts or not working;0;None;Unknown;16;1;11653
;0;749.95;New;0;None;Unknown;128;0;12412
GOOD CONDITION..CLEAN ICLOUD..NO LOCKS..CLEAN IMEI..This tablet has been fully tested and works ;1;20;Used;1;AT&T;Black;16;1;10013
;1;729.99;New;0;None;Space Gray;128;0;11488
;0;155;Used;0;None;Unknown;16;0;11169
VERY CLEAN!LIKE NEW!NO DENTS AT ALL-JUST NORMAL SIGNS OF REGULAR CAREFUL USE- LOOKS ALMOST ;0;276.99;Seller refurbished;0;None;Unknown;16;0;10874
;1;200;New;0;None;Space Gray;16;1;12206
;1;324.99;New other (see details);0;None;Unknown;16;1;12228
Cracked Screen, good condition otherwise.;1;0.99;For parts or not working;0;None;Black;16;1;11744
;0;130;Used;0;None;Unknown;16;0;11879
;1;190;Used;0;None;Unknown;16;0;10455
Slight scratches and scuffs, Customize Blue Screen;1;0.99;Seller refurbished;0;None;Unknown;16;1;10397
;1;159;Used;0;None;Space Gray;16;1;10641
;1;150;Used;1;AT&T;Black;Unknown;1;12188
;1;0.1;New other (see details);0;None;White;32;1;10330
;0;235;Used;1;Verizon;White;64;0;10984
Like new. Has been in case and has screen protector since day one. not a scratch on it.;1;99.99;Used;0;None;White;32;1;10407
;0;150;Used;0;None;Unknown;16;1;10259
;0;370;Used;0;None;White;16;0;12335
PLEASE READ THE ENTIRE DESCRIPTION! THE ANSWER TO YOUR QUESTION(S) ARE USUALLY ALREADY IN THE ;1;40;For parts or not working;0;None;Unknown;64;1;11667
;0;239.99;Used;0;None;Black;16;0;10990
;1;100;New;0;None;Space Gray;16;1;10007
;1;99.99;Used;0;None;White;16;1;10672
;0;200;Used;1;Verizon;White;16;0;10751
it is LOCKED  otherwise good condition.;0;199;Used;Unknown;Unknown;Unknown;Unknown;0;12287
;0;4.99;New;Unknown;Unknown;Unknown;Unknown;1;11583
;1;325;Used;0;None;Space Gray;32;1;12187
Ipad is in GOOD CONDITION. No screen scratch. Only a small scratch from a corner of the Ipad. Works ;0;350;Used;0;None;Unknown;64;0;12223
;0;275;Used;1;AT&T;Black;64;0;12523
Sync/Charge cable included.  Unit is in perfect working order with only minimal scuffs.  No earbuds ;0;155;Used;Unknown;Unknown;Unknown;Unknown;0;10244
Great Working 32GB iPad Air Wifi - Space Gray - Please read full description.;1;279;Used;0;None;Space Gray;32;0;11221
Note: One of the corners is slight scratched;0;189.99;Used;0;None;White;16;1;10147
The iPad is in great, working condition with very little wear on the case. The screen has no ;1;1;Used;1;AT&T;Unknown;16;1;11099
;1;129;New other (see details);1;Verizon;Unknown;16;1;11980
;0;550;New other (see details);1;Verizon;Space Gray;64;0;12527
;0;324.99;Used;1;Verizon;Unknown;32;0;12426
;0;199.99;Used;0;None;White;32;0;11479
iCloud Locked. For Use if you can unlock it, or parts.;1;100;Used;0;None;Space Gray;16;1;12134
Screen protector on day one when purchased.  Small scuffs on the sides of tablet.  It is fully ;0;179.95;Used;0;None;Black;16;0;11011
;0;100;Used;0;None;Unknown;16;0;11806
;1;99.99;For parts or not working;0;None;Unknown;16;0;11741
;0;9.95;New;Unknown;Unknown;Space Gray;Unknown;0;11455
;0;215;Used;1;Verizon;Black;64;0;10191
This item is used and in acceptable condition. Moderate scratches around the side and back, dented ;0;189.99;Used;1;AT&T;Unknown;16;0;12078
;1;375;Used;1;AT&T;White;16;0;11478
Refurbished by Best Buy Geek Squad Comes With Apple Manufactures Warranty Good till March 28, 2016;1;0.99;Seller refurbished;1;Unknown;Gold;16;1;12232
;0;249.99;Used;0;None;White;Unknown;1;11086
;0;139.5;Used;Unknown;Unknown;Black;16;0;10978
;1;599.99;New;0;None;White;16;0;11485
;1;150;Used;0;None;White;16;1;10396
;0;789.99;New;1;Unknown;Gold;64;0;12423
;1;89.99;Used;0;None;White;16;1;11972
broken;0;69.69;For parts or not working;0;None;Unknown;64;1;11596
;1;90;Used;0;None;White;16;1;10412
;1;100;Used;0;None;Black;16;1;11435
This TAB is in mint condition. TAB tested 100% fully functional with a clean ESN.;0;173;Used;0;None;White;16;1;11015
;1;0.99;New;Unknown;Unknown;Unknown;Unknown;1;11199
;0;350;New;0;None;Unknown;16;0;10783
;1;130;Used;0;None;White;16;1;10496
Used Apple iPad 4th Generation 64GB, Wi-Fi, 9.7in - Black,has signs of wear, has been restored to ;1;0.99;Used;0;None;Black;64;1;12087
;1;459;New;0;None;Unknown;16;0;10731
;0;420;Used;0;None;White;Unknown;1;11567
Non-Functioning Unit, handset only. Please refer to the item description below. Contact us with any ;1;0.99;For parts or not working;0;None;Unknown;32;0;11691
Good condition and functional 32GB iPad Mini Wifi - Black. Please read full discription;1;179;Used;0;None;Black;32;0;12388
;1;315;Used;0;None;Space Gray;32;0;11377
;0;120;Seller refurbished;Unknown;Unknown;Black;16;0;12542
;0;100;For parts or not working;0;None;Unknown;16;0;11687
